BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario,Application,Centers
1512951480000 ms, 2017-12-10T18:18:00, 0, 1499, 1499, 0,10P-1B-4C,kmeans,10
1512951540000 ms, 2017-12-10T18:19:00, 1, 1495, 1494, 0,10P-1B-4C,kmeans,10
1512951600000 ms, 2017-12-10T18:20:00, 0, 1492, 1492, 0,10P-1B-4C,kmeans,10
1512951660000 ms, 2017-12-10T18:21:00, 1, 1482, 1481, 0,10P-1B-4C,kmeans,10
1512951720000 ms, 2017-12-10T18:22:00, 1, 1492, 1491, 0,10P-1B-4C,kmeans,10
1512951780000 ms, 2017-12-10T18:23:00, 1, 1499, 1498, 0,10P-1B-4C,kmeans,10
1512951840000 ms, 2017-12-10T18:24:00, 1, 1535, 1534, 0,10P-1B-4C,kmeans,10
1512951900000 ms, 2017-12-10T18:25:00, 1, 1471, 1470, 0,10P-1B-4C,kmeans,10
1512951960000 ms, 2017-12-10T18:26:00, 1, 1498, 1497, 0,10P-1B-4C,kmeans,10
1512952020000 ms, 2017-12-10T18:27:00, 0, 1495, 1495, 0,10P-1B-4C,kmeans,10
1512952080000 ms, 2017-12-10T18:28:00, 1, 1578, 1577, 0,10P-1B-4C,kmeans,10
1512952140000 ms, 2017-12-10T18:29:00, 1, 1499, 1498, 0,10P-1B-4C,kmeans,10
1512952200000 ms, 2017-12-10T18:30:00, 1, 1488, 1487, 0,10P-1B-4C,kmeans,10
1512952260000 ms, 2017-12-10T18:31:00, 1, 1506, 1505, 0,10P-1B-4C,kmeans,10
1512952320000 ms, 2017-12-10T18:32:00, 1, 1518, 1517, 0,10P-1B-4C,kmeans,10
1512952380000 ms, 2017-12-10T18:33:00, 1, 1501, 1500, 0,10P-1B-4C,kmeans,10
1512952440000 ms, 2017-12-10T18:34:00, 1, 1505, 1504, 0,10P-1B-4C,kmeans,10
1512952500000 ms, 2017-12-10T18:35:00, 0, 1494, 1494, 0,10P-1B-4C,kmeans,10
1512952560000 ms, 2017-12-10T18:36:00, 1, 1528, 1527, 0,10P-1B-4C,kmeans,10
1512952620000 ms, 2017-12-10T18:37:00, 1, 1500, 1499, 0,10P-1B-4C,kmeans,10
1512952680000 ms, 2017-12-10T18:38:00, 1, 1491, 1490, 0,10P-1B-4C,kmeans,10
1512952740000 ms, 2017-12-10T18:39:00, 0, 1491, 1491, 0,10P-1B-4C,kmeans,10
1512952800000 ms, 2017-12-10T18:40:00, 0, 1497, 1497, 0,10P-1B-4C,kmeans,10
1512952860000 ms, 2017-12-10T18:41:00, 1, 1503, 1502, 0,10P-1B-4C,kmeans,10
1512952920000 ms, 2017-12-10T18:42:00, 1, 1499, 1498, 0,10P-1B-4C,kmeans,10
1512952980000 ms, 2017-12-10T18:43:00, 1, 1493, 1492, 0,10P-1B-4C,kmeans,10
1512953040000 ms, 2017-12-10T18:44:00, 1, 1483, 1482, 0,10P-1B-4C,kmeans,10
1512953100000 ms, 2017-12-10T18:45:00, 1, 1494, 1493, 0,10P-1B-4C,kmeans,10
1512953160000 ms, 2017-12-10T18:46:00, 1, 1504, 1503, 0,10P-1B-4C,kmeans,10
1512953220000 ms, 2017-12-10T18:47:00, 1, 1516, 1515, 0,10P-1B-4C,kmeans,10
1512953280000 ms, 2017-12-10T18:48:00, 1, 1515, 1514, 0,10P-1B-4C,kmeans,10
1512953340000 ms, 2017-12-10T18:49:00, 1, 1497, 1496, 0,10P-1B-4C,kmeans,10
1512953400000 ms, 2017-12-10T18:50:00, 1, 1498, 1497, 0,10P-1B-4C,kmeans,10
1512953460000 ms, 2017-12-10T18:51:00, 0, 1490, 1490, 0,10P-1B-4C,kmeans,10
1512953520000 ms, 2017-12-10T18:52:00, 1, 1487, 1486, 0,10P-1B-4C,kmeans,10
1512953580000 ms, 2017-12-10T18:53:00, 1, 1518, 1517, 0,10P-1B-4C,kmeans,10
1512953640000 ms, 2017-12-10T18:54:00, 1, 1481, 1480, 0,10P-1B-4C,kmeans,10
1512953700000 ms, 2017-12-10T18:55:00, 0, 1485, 1485, 0,10P-1B-4C,kmeans,10
1512953760000 ms, 2017-12-10T18:56:00, 1, 1493, 1492, 0,10P-1B-4C,kmeans,10
1512953820000 ms, 2017-12-10T18:57:00, 0, 1510, 1510, 0,10P-1B-4C,kmeans,10
1512953880000 ms, 2017-12-10T18:58:00, 0, 1499, 1499, 0,10P-1B-4C,kmeans,10
1512953940000 ms, 2017-12-10T18:59:00, 0, 1535, 1535, 0,10P-1B-4C,kmeans,10
1512954000000 ms, 2017-12-10T19:00:00, 6, 1496, 1490, 0,10P-1B-4C,kmeans,10
