BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario,Application,Centers
1512934980000 ms, 2017-12-10T13:43:00, 0, 1349, 1349, 0,6P-1B-2C,kmeans,10
1512935040000 ms, 2017-12-10T13:44:00, 1, 1294, 1293, 0,6P-1B-2C,kmeans,10
1512935100000 ms, 2017-12-10T13:45:00, 1, 1301, 1300, 0,6P-1B-2C,kmeans,10
1512935160000 ms, 2017-12-10T13:46:00, 1, 1308, 1307, 0,6P-1B-2C,kmeans,10
1512935220000 ms, 2017-12-10T13:47:00, 1, 1326, 1325, 0,6P-1B-2C,kmeans,10
1512935280000 ms, 2017-12-10T13:48:00, 0, 1321, 1321, 0,6P-1B-2C,kmeans,10
1512935340000 ms, 2017-12-10T13:49:00, 0, 1317, 1317, 0,6P-1B-2C,kmeans,10
1512935400000 ms, 2017-12-10T13:50:00, 1, 1346, 1345, 0,6P-1B-2C,kmeans,10
1512935460000 ms, 2017-12-10T13:51:00, 1, 1336, 1335, 0,6P-1B-2C,kmeans,10
1512935520000 ms, 2017-12-10T13:52:00, 1, 1342, 1341, 0,6P-1B-2C,kmeans,10
1512935580000 ms, 2017-12-10T13:53:00, 0, 1327, 1327, 0,6P-1B-2C,kmeans,10
1512935640000 ms, 2017-12-10T13:54:00, 1, 1291, 1290, 0,6P-1B-2C,kmeans,10
1512935700000 ms, 2017-12-10T13:55:00, 1, 1325, 1324, 0,6P-1B-2C,kmeans,10
1512935760000 ms, 2017-12-10T13:56:00, 0, 1317, 1317, 0,6P-1B-2C,kmeans,10
1512935820000 ms, 2017-12-10T13:57:00, 1, 1316, 1315, 0,6P-1B-2C,kmeans,10
1512935880000 ms, 2017-12-10T13:58:00, 1, 1338, 1337, 0,6P-1B-2C,kmeans,10
1512935940000 ms, 2017-12-10T13:59:00, 1, 1312, 1311, 0,6P-1B-2C,kmeans,10
1512936000000 ms, 2017-12-10T14:00:00, 1, 1309, 1308, 0,6P-1B-2C,kmeans,10
1512936060000 ms, 2017-12-10T14:01:00, 1, 1309, 1308, 0,6P-1B-2C,kmeans,10
1512936120000 ms, 2017-12-10T14:02:00, 1, 1326, 1325, 0,3P-1B-2C,kmeans,10
1512936180000 ms, 2017-12-10T14:03:00, 1, 1303, 1302, 0,3P-1B-2C,kmeans,10
1512936240000 ms, 2017-12-10T14:04:00, 1, 1311, 1310, 0,3P-1B-2C,kmeans,10
1512936300000 ms, 2017-12-10T14:05:00, 1, 1284, 1283, 0,3P-1B-2C,kmeans,10
1512936360000 ms, 2017-12-10T14:06:00, 1, 1319, 1318, 0,3P-1B-2C,kmeans,10
1512936420000 ms, 2017-12-10T14:07:00, 2, 1325, 1323, 0,3P-1B-2C,kmeans,10
1512936480000 ms, 2017-12-10T14:08:00, 1, 1311, 1310, 0,3P-1B-2C,kmeans,10
1512936540000 ms, 2017-12-10T14:09:00, 1, 1287, 1286, 0,3P-1B-1C,kmeans,10
1512936600000 ms, 2017-12-10T14:10:00, 1, 1333, 1332, 0,3P-1B-1C,kmeans,10
1512936660000 ms, 2017-12-10T14:11:00, 1, 1305, 1304, 0,3P-1B-1C,kmeans,10
1512936720000 ms, 2017-12-10T14:12:00, 1, 1309, 1308, 0,3P-1B-1C,kmeans,10
1512936780000 ms, 2017-12-10T14:13:00, 1, 1318, 1317, 0,3P-1B-1C,kmeans,10
1512936840000 ms, 2017-12-10T14:14:00, 1, 1332, 1331, 0,3P-1B-1C,kmeans,10
1512936900000 ms, 2017-12-10T14:15:00, 2, 1299, 1297, 0,3P-1B-1C,kmeans,10
